r,m,n_eq
3,2,4
81,2,3
1,2,2
81,4,4
5103,2,5
5103,5,4
83349,4,7
243,3,6
9,1,1
2187,2,6
7,0,4
27,1,2
5103,2,4
7,0,2
81,4,4
27,0,2
63,4,5
3,3,2
9,0,1
3,0,2
81,1,4
3,0,2
3,2,1
21,1,2
3,0,2
3,1,1
9,0,3
243,0,3
2187,2,6
9,4,5
729,2,4
45927,2,6
81,0,2
27,0,2
81,1,4
81,4,4
567,4,5
7203,2,3
441,5,6
9,0,3
9,0,2
567,4,6
3,2,2
243,1,4
2187,0,7
27,4,6
27,2,3
9,0,1
81,3,6
3,1,1
3,1,3
9,2,5
81,0,5
441,7,7
9,1,1
81,2,4
1,2,3
189,2,3
7,1,5
3,0,1
5103,3,4
81,1,3
45927,2,6
1,2,2
27,1,2
81,3,5
1701,4,6
21,2,3
81,3,4
567,4,5
1323,7,5
3,1,3
81,0,5
189,4,5
27,0,3
1,0,3
729,3,6
1701,1,5
1701,6,5
9,1,3
9,2,2
189,2,3
27,4,4
15309,4,6
81,2,6
729,2,5
1,0,0
2187,1,6
27,2,3
9,2,3
3,0,2
81,3,4
135,2,4
27,2,3
3,1,2
1701,4,4
3,2,1
81,0,3
9,2,2
1,2,3
21609,2,4
9,0,3
9,0,3
194481,3,6
567,2,5
3,2,4
81,1,4
583443,5,5
27,1,2
9,3,2
3,0,3
9,2,3
694575,5,7
5103,3,4
3,1,2
21,1,2
9,0,2
189,7,6
27,0,2
567,1,5
147,6,6
3,2,3
81,0,3
25515,5,5
27,2,3
27,3,3
3,0,1
35721,4,6
6561,0,7
3,0,1
27,3,4
27,1,3
9,2,3
81,3,5
81,0,2
2083725,6,5
729,1,4
189,3,4
81,8,7
9,1,1
27,3,2
27,1,2
147,4,4
81,4,4
5103,3,5
7,2,3
1701,3,4
63,2,3
9,0,3
189,3,5
27,1,2
27,0,1
189,2,3
9,3,3
9,0,1
9,0,3
1,0,3
243,1,3
1,2,3
9,2,3
81,4,5
7,0,4
189,3,4
243,2,4
27,4,6
81,2,3
243,0,4
27,1,5
3,1,2
1,1,1
81,4,5
1,0,2
27,2,3
81,3,2
1701,3,4
9,2,4
243,2,4
194481,7,6
27,4,3
27,0,4
5103,2,5
63,3,4
9,1,3
1,0,3
81,1,4
3,2,4
1361367,8,6
243,4,4
3,0,2
81,1,5
9,0,3
3,1,2
27,0,2
3,0,2
135,4,6
243,2,4
11907,4,7
2187,2,5
9,2,3
81,2,3
243,4,6
9,1,2
9,0,3
147,1,4
3,0,3
9,2,3
9,2,4
189,2,4
729,2,6
81,2,5
5103,5,5
1,1,4
3,0,2
1,2,3
9,0,3
9,2,4
1,1,1
243,0,3
81,3,6
63,1,4
9,1,1
147,5,5
729,4,6
3,3,5
81,1,2
27,2,3
3,0,2
1,0,1
243,1,5
9,6,3
9,0,1
3,1,3
1,0,0
3,0,2
5103,7,7
1,0,0
9,3,4
9,0,1
3,1,1
81,3,5
189,1,4
7,1,4
9,2,4
5103,2,5
1,0,1
9,0,1
243,2,5
25515,3,4
243,2,3
3,0,2
81,4,4
3,2,4
9,3,2
27,0,2
243,0,2
27,0,2
27,1,2
27,1,4
441,3,5
1,0,2
189,3,3
9,0,1
27,2,3
243,0,5
1701,3,4
9,3,3
27,3,4
189,3,5
27,1,3
9,3,2
243,2,4
1,0,2
9,0,2
81,7,6
243,2,2
1,3,2
9,0,1
243,2,3
189,3,5
189,3,3
81,1,4
405,1,5
243,1,5
81,2,5
6251175,8,8
27,2,3
3969,3,6
567,2,5
7,2,2
81,3,3
81,2,5
3,0,2
3,1,3
9,1,4
81,4,4
81,1,3
243,2,5
1,0,1
1701,2,5
3,1,2
1,0,1
27,1,2
243,1,4
243,3,6
567,3,4
243,2,4
9,2,4
9,2,3
441,0,6
21,1,2
1,1,2
9,3,3
567,5,4
27,1,5
1,0,3
243,2,4
243,1,6
189,5,4
27,2,3
7,2,2
3,3,3
3,1,2
243,3,4
9,2,4
9,2,3
9,2,2
243,3,4
27,2,4
49,4,3
49,4,4
81,1,3
81,3,5
3,2,4
1701,6,6
9,1,2
567,7,5
243,0,2
3,1,2
27,0,3
3,0,1
81,1,4
9,2,3
15309,4,5
567,1,3
1,1,2
81,5,5
81,4,5
63,4,4
7,1,3
3,1,2
83349,3,8
9,3,3
27,4,5
45,5,4
5103,2,3
9,3,5
81,3,3
243,1,6
3,0,2
1701,4,5
15309,4,5
27,0,3
3,2,2
15309,4,6
1,1,1
81,0,5
9,4,4
9,0,3
9,3,4
27,1,4
9,1,2
147,4,4
3,0,3
243,3,4
81,3,4
81,2,4
15309,5,6
8505,5,5
189,2,4
27,2,2
27,2,3
243,6,7
243,0,3
189,3,2
9,2,5
321489,4,6
321489,2,5
9,1,1
15309,2,5
9,2,2
9,0,2
9,0,1
81,1,2
3,0,1
1,0,2
1,1,1
1,0,1
27,1,3
1323,4,5
3,1,4
3,1,3
9,0,3
11907,3,6
2187,3,4
27,0,3
1701,2,5
243,5,4
27,1,5
729,2,5
729,0,5
81,5,5
27,3,4
9,0,2
9,0,3
25515,5,5
9,0,3
27,1,4
9,0,2
3,2,1
9,1,4
1,1,3
1,1,2
27783,8,6
5103,5,5
7,5,3
9,2,3
1701,4,6
1,0,3
27,2,3
1,1,2
9,2,2
27,0,3
567,7,5
9261,3,5
1,0,1
81,2,4
27,0,2
21609,5,5
7,3,3
63,3,4
25515,5,5
1,0,1
321489,6,6
1,0,1
945,2,6
243,2,5
27,0,2
27,2,3
27,1,2
567,3,4
9,2,1
63,2,5
729,0,5
9,3,3
63,3,5
21,5,4
9,1,3
1,1,1
27,3,5
9,1,3
3,0,1
3,2,3
3,0,2
1,0,2
567,2,3
729,1,4
3969,1,5
27783,2,7
9,2,2
243,1,4
1,0,0
27,3,2
27,3,5
2187,2,4
243,2,4
7,1,4
15309,3,5
9,0,4
3,1,2
9,1,2
189,1,2
1,0,0
27,1,3
27,2,4
135,4,4
81,2,4
9,0,5
9,2,4
243,1,2
1701,3,5
1701,1,5
9,0,2
27,0,2
2187,2,5
189,1,3
27,2,3
189,1,4
729,0,5
9,1,4
1,0,0
729,2,4
3,1,3
27,1,4
7,0,2
9,3,2
63,1,4
27,1,2
1,1,3
243,1,4
3,0,2
9,0,3
81,1,3
5103,2,4
27,2,4
9,0,1
729,1,5
81,0,3
27,0,3
59535,7,7
107163,5,5
7,2,3
1701,4,5
3,1,3
1,0,3
3,2,3
21,1,3
15309,5,7
45927,2,4
81,2,4
3,0,3
189,1,3
3969,5,6
1,0,1
81,1,3
9,3,3
5103,1,5
5103,4,5
189,1,3
81,2,5
729,0,4
3969,3,7
27,1,3
81,6,5
243,3,3
5103,4,4
1,0,1
9,1,2
9,2,2
1,0,1
189,2,3
243,0,3
243,2,3
27,1,3
189,3,6
3,1,4
81,3,4
3,3,4
63,0,4
9,2,3
81,2,2
45927,3,6
9,1,3
27,0,3
147,2,4
243,2,4
81,0,3
9,0,4
1,0,2
9,0,2
27,4,5
567,3,4
688905,3,6
27,1,4
9,1,2
9,3,3
3,1,2
15309,3,6
27,2,4
27,1,3
1701,1,4
9,0,2
9,0,3
729,3,3
189,1,3
243,2,5
243,2,4
243,2,3
441,2,4
27,3,3
81,3,4
567,3,3
7,3,3
7,0,3
7,2,3
729,4,5
27,0,2
189,5,5
27783,5,5
1,3,2
35721,3,7
567,3,4
9,0,3
9,4,2
9,1,3
1,4,2
3,1,1
567,1,4
189,0,4
243,5,6
1,2,2
1,0,1
81,3,3
9,2,4
1,1,1
243,2,3
243,1,6
1,1,2
27,2,4
81,1,3
729,0,5
135,4,6
3,2,2
27,2,5
9,0,2
9,0,1
189,1,2
63,7,6
9,3,3
1,1,2
1,1,3
9,1,3
63,3,4
1701,5,5
189,1,3
243,3,3
27,1,4
27,2,3
1,0,1
1701,4,6
81,2,4
27,0,3
729,6,6
147,5,4
3,1,3
1,2,2
729,5,6
9,0,2
27,0,3
567,2,4
189,2,3
27,0,2
81,0,3
3,2,1
9,1,3
81,4,4
7,2,4
27,2,2
1,1,1
243,8,6
729,0,5
27,2,3
9,1,2
3,0,2
1,4,4
27,1,4
27,2,3
1,0,0
81,2,4
1701,3,7
81,4,3
3,0,3
9,5,5
9,0,2
3,1,2
1,2,2
9,4,3
9,0,2
81,2,4
81,5,5
1,0,2
1701,2,4
189,2,2
81,3,4
81,3,4
3,0,1
9,4,2
27,2,3
9,1,2
3,1,3
9,0,4
9,0,2
15309,1,7
7,3,4
81,3,3
1,0,0
189,1,5
9,4,4
27,0,2
229635,4,7
81,2,5
27,0,4
21,3,3
3,0,2
1,0,1
9,1,2
27,1,3
243,1,5
9,2,5
81,1,4
27,1,3
567,5,7
1,0,1
3,4,4
1701,3,4
63,3,4
9,2,2
9,0,2
567,1,4
3,0,1
27,1,3
1701,3,3
5103,5,5
729,1,4
243,2,3
189,0,6
1323,0,3
63,3,4
63,2,5
567,0,5
441,2,4
243,2,5
63,2,5
567,1,4
35721,2,5
27,0,4
9,3,4
9,3,3
15309,3,7
21609,2,6
567,5,4
3,2,3
27,1,3
27,0,2
1,2,2
1701,4,5
9,0,2
63,0,4
9,4,5
63,5,4
194481,5,6
243,1,5
1701,3,6
9,0,3
7,3,3
7,3,2
1,1,2
27,1,3
9,3,5
27,1,2
1,1,1
9,1,4
9,1,2
81,1,3
694575,7,7
9,2,3
27,1,4
1,0,0
81,2,3
567,2,5
567,2,5
243,3,3
243,2,3
15309,5,6
27,2,2
1,3,2
81,0,4
9,2,4
1,2,2
3,0,4
27,4,4
27,0,2
9,2,4
1,1,3
27,5,4
27,3,4
1,0,0
63,0,3
63,0,4
21,0,3
243,2,4
1,0,1
81,2,7
1701,5,4
243,3,5
3,0,2
7,4,4
9,1,2
1,1,1
1701,4,4
5103,5,6
27,4,4
9,1,3
5103,1,4
27,5,6
1,1,3
35721,6,5
1701,2,4
243,0,3
729,2,4
9,2,4
441,6,5
4084101,6,7
27,1,4
189,2,3
243,2,4
3969,2,6
243,2,5
27783,3,6
3,0,3
729,5,5
3,0,2
27,2,6
1701,4,4
27,3,5
27,2,3
9,2,1
3,0,2
27,3,6
1215,5,6
45927,2,4
9,3,3
243,0,4
3,1,2
4084101,4,7
2835,4,6
9,3,4
49,2,4
27,2,3
21,1,4
27,0,3
2187,0,5
27,2,3
27,3,5
729,3,5
9,4,4
81,2,4
9,1,4
5103,3,6
9,2,5
3,2,4
81,1,2
7203,4,4
27,0,3
2835,6,5
9,1,2
1,0,0
9,0,2
27,6,4
27,2,3
27,2,4
3,3,3
3,0,2
4084101,5,6
1,0,2
63,0,3
9,2,3
81,0,2
9,1,3
81,0,3
243,0,4
3,3,3
729,3,6
7,2,2
567,3,4
729,1,4
9,1,2
243,1,4
27,2,5
1,0,1
243,2,4
27,0,3
9,0,2
9,0,2
9,0,2
3,2,1
7,1,3
27,2,5
1,1,1
5103,1,3
729,0,5
189,4,3
27,2,5
27,1,3
27,4,3
9,2,4
243,2,4
9,1,2
1,4,3
15309,6,7
9,3,3
81,6,4
3,2,3
27,2,4
1323,3,5
1,0,0
9,2,3
3,1,2
243,0,2
1,2,4
1,0,2
1,1,1
189,1,5
9,1,3
9,0,3
9,1,2
9,1,2
3,0,2
3,0,1
81,3,4
27,5,4
6251175,6,8
3,2,4
9,0,1
63,0,3
567,3,4
1,0,1
27,0,4
9,1,2
729,3,4
1,0,1
3,1,3
3,4,3
729,3,5
1,3,3
27,0,3
27,3,2
9,1,2
9,1,3
27,0,4
3,0,2
81,5,5
27,1,4
147,4,5
1,0,4
27,2,3
5103,3,5
243,4,5
3,0,2
81,0,4
81,0,3
1,1,2
1701,2,4
9,4,3
3,2,3
9,2,3
9,1,3
27,0,3
27,0,3
567,3,5
135,1,4
3,0,3
1,3,3
2187,3,4
9,5,5
1,0,2
5103,5,6
3,3,4
27,3,4
64827,4,4
3969,7,6
2187,1,3
21,1,3
567,2,6
81,0,4
27,1,3
3,0,3
27,1,4
243,2,5
189,3,4
81,2,4
1,0,1
21,1,4
135,5,5
21,2,3
1,3,3
243,2,4
27,2,4
63,3,4
1,0,1
107163,4,6
9,1,4
1,0,2
1701,4,5
81,3,4
27,0,3
729,1,6
9,0,2
9,0,2
7,3,4
1,2,2
3,0,4
243,4,6
1701,3,5
243,0,2
3,2,3
1,0,1
147,5,6
9,2,3
35721,1,6
9,1,2
27,2,3
27,2,3
189,2,4
27,1,4
9,0,2
3,2,3
3,0,2
81,3,4
1323,5,6
15309,2,5
63,5,4
729,1,5
5103,2,5
189,2,5
1701,1,3
135,3,4
9,1,3
567,8,5
189,2,5
1,0,0
15309,3,7
14586075,9,8
567,5,4
9,0,3
243,2,5
1,0,2
243,3,5
3,3,3
1701,3,5
9,1,3
76545,2,5
1,2,3
5103,3,3
27,0,3
63,3,4
27,0,2
3,1,2
27,2,3
243,5,7
7,6,4
9,2,3
27,1,4
1,5,5
3,1,2
1,0,1
27,2,3
243,4,3
243,2,5
27,1,2
45927,6,5
243,2,5
27,1,2
3,0,2
1,0,1
5103,4,4
9,1,1
9,0,3
27,4,2
1750329,6,7
9,5,4
3,1,2
81,0,3
9,2,3
9,2,3
243,1,4
9,2,1
81,1,2
27,1,4
1,6,4
147,4,7
567,2,5
1323,8,6
2187,0,4
64827,4,5
9,1,2
2835,2,4
3,3,4
243,2,5
27,3,4
1,0,2
567,3,6
3,0,2
1,0,2
3,3,4
77175,4,5
9,0,4
1701,2,4
189,2,4
81,3,7
45927,2,6
1,0,2
3,3,3
243,1,5
27,3,5
27,3,5
321489,6,5
63,2,4
189,2,2
9,1,3
321489,5,6
21,1,2
81,1,3
9,1,2
243,0,4
1,0,0
243,0,3
3,3,3
81,0,3
567,1,5
81,0,2
81,2,4
81,4,5
243,1,4
9,1,4
1,2,2
2250423,3,8
243,4,6
27,5,5
81,2,5
9,5,5
567,1,5
567,2,3
9,0,2
15309,4,5
3,2,2
9,0,2
63,0,4
189,5,4
81,2,4
27,2,4
21,1,3
27,0,4
9,0,2
63,3,5
1,2,1
9,0,2
1,4,3
1701,5,7
5103,3,5
3645,4,7
9,4,4
7,3,3
9,3,3
1,0,4
3,2,2
27,4,3
9,2,4
63,5,4
81,2,4
81,0,4
7,4,5
3,2,4
9,0,1
243,2,4
27,2,4
12252303,4,7
567,1,4
243,1,3
1701,2,6
64827,4,5
81,0,2
243,1,4
567,5,5
189,3,4
243,3,6
3,0,4
9,4,3
3,5,5
9,0,1
9,2,5
729,2,5
1323,0,4
567,1,4
729,5,6
243,1,5
3,0,1
81,3,3
729,1,3
21,3,3
567,4,4
15309,3,4
5103,2,3
6561,0,7
9,2,5
3969,4,5
243,2,3
3,0,3
9,0,3
243,3,4
321489,4,6
27,2,4
9,0,1
243,2,3
27,1,3
9,1,2
27,0,2
194481,5,6
35721,3,5
567,2,6
9,1,1
9,0,1
9,2,2
7,1,3
135,2,6
729,3,5
27,0,3
1,2,3
321489,3,8
9,1,4
3,2,4
81,2,4
9,2,2
135,2,6
147,4,4
7,2,3
1,3,3
9,2,1
441,7,6
9,2,2
3,0,3
81,3,5
9,2,2
9,3,4
27,0,3
243,2,3
567,5,8
27,4,6
3969,2,7
27,0,4
81,3,4
1,0,2
3,2,1
81,3,5
9,2,3
81,2,3
189,0,3
9,0,2
1,1,2
49,1,3
107163,3,6
3,1,4
5103,2,5
5103,1,6
83349,2,8
1,4,4
5103,6,5
9,3,5
567,2,4
9,2,4
7,5,4
5103,2,4
147,0,3
5103,3,5
1,0,0
27,0,3
3,0,3
27,1,5
5103,5,6
27,2,4
27,1,4
3,0,2
9,2,2
2187,3,4
7,3,4
27,2,3
5103,3,7
81,2,3
243,1,4
147,1,3
3,1,1
243,0,3
3,2,3
352947,4,6
2835,4,3
3,2,2
81,2,5
81,3,4
7,3,3
81,2,3
3,1,4
27,3,4
441,3,6
567,4,6
81,1,5
9,1,3
81,2,4
567,3,6
1,0,1
189,4,4
63,2,7
3,1,3
3,1,1
729,2,5
21,3,4
243,2,3
189,1,4
27,0,3
21609,3,4
567,4,5
7,0,3
9,0,1
1,0,1
27,3,3
243,2,3
27,5,4
243,1,5
1,0,1
1,0,2
27,1,4
27,2,4
81,2,4
1,0,2
1701,1,4
45927,5,7
3,2,3
81,2,5
81,3,3
1,2,1
9,1,3
107163,2,6
27,0,2
81,0,2
27,5,5
9,0,1
27,0,5
5103,6,6
5103,6,6
3,2,2
6561,1,6
1215,3,7
5103,1,3
3,2,2
81,2,2
3,0,2
27,4,3
81,4,4
63,1,5
1,1,1
27,3,5
27,3,3
1,1,2
81,0,5
1,1,2
243,2,5
243,2,5
77175,4,6
7,0,3
147,2,4
81,1,4
243,3,4
567,1,4
21,3,4
147,1,3
81,2,4
1701,2,5
567,2,6
81,0,3
21,2,4
1701,4,5
189,2,4
1701,2,5
9,2,4
1,2,2
189,2,3
3,0,1
9,0,3
27,0,3
9,1,2
27,2,2
9,0,4
567,2,2
243,0,3
9,2,5
81,1,3
3,0,2
9,1,3
3,2,3
243,2,5
64827,7,6
7,4,3
81,0,2
189,4,6
81,6,5
9,5,4
243,0,4
3,0,1
81,4,4
2187,0,4
567,3,4
243,1,4
1701,0,4
63,2,5
9,0,2
9,0,3
1,0,1
189,1,3
5103,2,5
3,1,3
27,1,4
567,5,6
189,3,3
21,3,5
1,0,1
243,0,3
27,3,3
56260575,3,6
9,1,2
27,0,3
567,7,5
27,1,3
27,0,2
15,4,4
27,2,3
243,2,6
9,6,5
49,5,5
9,0,2
9,2,4
567,2,3
9261,4,6
27,2,3
3,2,2
21,2,5
243,0,4
567,5,5
441,0,5
27,0,2
9,2,4
25515,2,5
3,0,1
3,2,2
1701,4,5
1,0,2
243,2,4
45927,4,6
21,1,4
9,0,4
27,3,3
1,0,1
81,2,4
3,0,2
9,2,3
1,0,0
567,2,3
189,4,5
3,1,2
243,2,4
21,1,3
27,3,3
1701,2,4
3,2,1
243,1,3
567,2,5
7203,5,5
3,2,1
3,3,4
1,1,1
27,2,4
21609,6,5
9,3,4
9,0,3
107163,2,4
3,1,4
7,3,4
1,0,1
27,1,4
81,0,2
27,4,6
567,2,4
189,1,5
1,1,2
189,0,4
5103,2,6
27,5,4
3,0,2
5103,9,7
81,0,4
729,1,3
729,0,4
1701,2,3
243,2,2
63,0,5
1701,2,5
3,1,2
9,1,2
231525,7,7
1,0,1
9261,3,6
27,0,4
27,2,4
14586075,9,9
27,2,3
5103,3,5
441,5,6
81,0,3
3,2,1
567,1,2
63,0,4
21,1,3
9,4,4
1,1,1
9,0,3
27,5,5
1701,3,3
27,4,4
3,0,2
3,0,2
9,1,3
147,3,5
3,2,2
5103,3,6
27,1,6
9,1,2
9,1,2
7,2,4
63,3,5
27,3,6
243,0,4
9,1,2
567,1,5
729,0,4
189,1,4
27,2,4
1,2,2
1,0,2
9,3,3
1,2,2
441,4,5
1,2,2
5103,5,6
9,2,3
9,1,2
243,0,4
27,0,2
7,1,3
9,0,5
3,1,3
9,1,2
9,1,3
3,0,3
81,1,3
81,4,3
9,3,4
7,1,2
81,0,5
7,1,2
45927,3,4
3,0,2
3,0,4
3,2,4
1,0,3
27,0,3
81,2,4
3,0,1
27,0,2
9,4,3
3,2,3
27,0,2
1,0,2
9,0,2
27,3,3
63,3,4
9,4,4
27,4,2
243,0,3
6251175,4,7
3,1,1
243,3,5
27,1,2
9,1,2
27,4,4
63,5,5
63,3,4
27,3,2
9,4,3
45,1,4
3,1,1
7,1,4
9,1,4
7,1,2
5103,2,5
567,0,4
363182463,9,8
1701,3,3
3,3,3
81,1,3
189,2,5
1,0,0
27,2,2
9,2,2
63,2,5
9,1,2
3,0,1
189,3,3
81,0,4
2083725,8,7
27,0,5
189,0,3
1,1,3
1,0,1
3,2,2
81,0,2
964467,2,6
1701,2,4
27,0,4
1701,2,4
964467,4,7
9,2,4
27,2,2
27,1,3
567,4,6
7,2,4
27,2,4
27,0,3
9,2,4
81,2,5
81,1,3
27,4,5
63,1,4
1701,2,3
3,0,2
729,0,5
27,2,3
81,1,2
5103,4,6
9,2,3
81,3,5
45927,2,5
45927,4,7
27,1,3
1,0,3
3969,3,6
1,0,0
27,3,3
1,1,3
1,0,1
243,1,5
3,0,3
1,0,2
27,0,3
27,2,3
63,4,4
64827,3,5
7,0,3
27,2,4
1,1,2
81,3,4
15309,4,5
3,1,3
243,1,4
1,0,2
567,2,2
3,2,3
27,1,2
27,2,4
81,2,3
27,0,3
243,0,3
5103,0,4
3,1,2
81,4,3
189,3,4
9,0,4
243,3,5
729,1,4
76545,5,6
27,0,2
3,1,3
49,3,4
189,1,3
77175,4,6
1,1,2
729,2,5
27,3,4
189,3,4
21,3,3
81,2,2
243,0,3
9,0,4
27,0,2
21,2,3
19683,0,4
81,4,3
81,2,4
81,2,3
27,1,3
9,1,2
27,1,3
9,1,2
27,2,3
9,0,2
81,2,2
21,3,4
243,2,5
2835,2,7
9,2,4
45,3,5
81,4,3
3,1,2
81,4,5
9,0,3
3,1,3
81,1,3
81,3,4
1,0,2
567,2,3
9,2,2
27,3,3
1,2,3
35721,2,4
7203,4,3
27,1,2
27,2,2
3,3,2
729,2,5
729,2,3
243,1,5
21,2,4
178605,3,7
243,2,5
189,2,6
9,2,3
9,2,2
567,3,5
3,1,3
27,2,2
81,1,3
3,3,3
27,2,2
567,3,5
441,3,5
1,1,1
5103,3,4
243,0,3
189,4,6
81,2,2
9,2,2
189,2,5
21,2,4
9,0,2
441,2,5
27,4,4
9,3,3
9,2,3
81,2,3
189,2,3
27,3,3
27,1,3
1,1,2
9,0,4
81,1,3
3,1,3
81,2,4
1,0,0
27,0,4
81,1,3
243,0,2
771895089,6,8
15309,1,4
81,3,5
7,0,2
21,0,3
9,1,3
81,2,3
243,6,6
3,4,4
81,2,4
7,2,4
49,4,4
27,5,4
9,2,4
27,2,4
9,1,2
9,0,1
243,3,4
1701,1,4
5103,2,5
63,4,4
27,3,3
63,1,4
243,1,5
9,1,2
243,4,5
9,1,4
9,2,2
27,1,4
243,0,5
21,1,3
567,5,6
9,2,2
1,2,1
189,4,3
9,1,3
9,2,3
1701,2,4
27,2,5
1701,4,6
9,2,4
63,2,3
27,5,6
81,5,4
27,1,3
243,1,3
27,3,4
2187,3,4
9,2,4
27,3,5
243,2,3
27,2,3
9,2,3
243,3,5
27,2,2
3,4,2
9,4,3
27,0,4
729,0,4
27,1,3
1701,0,4
567,3,4
63,4,4
3,0,3
81,5,5
77175,3,4
567,4,5
81,1,3
567,2,5
243,5,6
6561,1,5
3,1,3
243,2,4
42525,8,6
3,1,1
64827,4,5
189,1,4
567,2,5
9,0,2
729,2,4
27,0,3
3,0,2
9,0,4
9,2,4
9,4,3
27,3,3
1,0,1
2187,1,7
9,1,3
3,1,4
1,0,1
189,5,5
147,1,3
11907,5,6
567,2,4
3,0,3
3,1,2
27,2,2
3,1,2
3,3,4
81,0,2
9,4,3
729,1,3
27,2,6
1,3,2
21,2,3
81,1,5
9,0,3
9,3,5
3,2,1
1,1,3
1,1,1
567,2,3
81,2,3
81,2,5
27,2,3
1701,2,5
27,1,3
81,3,4
15309,4,7
63,2,4
1,1,1
63,1,4
15309,1,4
2835,3,3
7,1,2
147,2,4
27,3,4
243,1,5
9,1,2
27,0,2
1701,1,4
1,1,3
27,0,3
3,1,3
5103,4,6
63,2,4
1,0,3
27,1,4
81,2,4
27,1,2
243,0,4
1750329,3,6
15309,4,6
1701,2,4
21,2,4
3,0,2
1,2,1
27,2,4
81,0,2
9,1,2
81,3,2
63,5,4
9,2,3
9,2,3
9,0,2
1,1,3
27,2,3
27,3,3
1,0,2
243,0,3
81,1,2
9,0,2
21,1,3
63,2,4
441,3,5
27,4,3
1,0,1
189,1,5
9,1,2
27,3,3
3,0,3
5103,4,4
1701,3,3
3,0,4
9,1,1
1701,1,5
5103,3,5
9,1,3
9,4,4
243,0,4
1323,5,5
7,1,2
27,0,3
63,1,5
567,4,3
9,1,3
21,1,3
9,1,3
9,1,1
1,1,2
3,1,2
27,1,4
11907,2,4
1,1,4
27,4,3
9,1,3
1,0,1
81,4,4
3,0,1
1,1,1
9,2,1
243,2,4
243,0,2
567,1,3
189,3,4
7,3,4
3,2,3
6561,0,5
243,3,4
9,0,3
243,1,3
9,3,3
729,1,5
81,0,3
1,1,1
1701,4,3
9,1,3
27,0,2
1,2,2
9,3,4
81,3,6
81,3,4
9,3,5
3,1,2
9,1,4
1,0,3
1,1,2
