r,m,n_eq
27,1,4
27,0,5
3,1,2
81,5,3
1701,3,5
567,4,3
9,2,3
567,3,5
243,1,4
189,3,5
9,0,2
5103,2,4
3,0,2
1,1,2
9,5,3
81,2,4
9,0,1
27,0,2
35721,3,6
315,5,5
1701,5,5
3,1,3
1,1,3
9,3,4
3,0,3
3,0,2
1,0,1
1,0,3
63,0,4
3,1,1
81,3,3
441,6,5
27,0,3
81,2,4
81,1,3
9,3,2
9,1,3
7,1,3
243,0,3
243,2,4
1,1,2
27,3,2
9,1,4
27,0,2
9,5,4
27,4,3
9,1,2
9,2,3
7,1,3
189,4,4
9,3,4
189,8,7
9,2,2
441,6,5
21,4,3
729,0,5
27,3,5
1,0,1
27,0,3
9,4,4
1,0,2
147,5,5
63,2,4
1,0,1
9,0,1
5103,2,5
9,2,2
3,0,3
189,3,4
81,4,3
7,1,4
3,0,2
63,4,5
945,5,7
1701,4,6
9,1,4
243,0,4
9,0,3
9,3,4
81,3,4
35721,4,5
3,1,3
5103,2,5
81,4,3
1701,2,4
3,2,3
81,1,5
27,4,3
9,0,3
81,1,4
321489,4,6
7,5,5
9,2,5
15309,1,5
243,1,5
9,2,2
81,1,3
9,0,1
9,2,3
243,0,5
14586075,11,7
9,2,2
45927,5,7
1,0,0
9,0,2
81,1,2
27,1,4
7,0,2
1701,4,5
1701,4,5
81,4,5
1,0,2
567,4,7
9,2,2
1701,1,4
1,0,0
81,4,6
45927,1,7
1,2,2
27,0,2
27,1,2
45927,3,5
15309,1,5
1,0,1
9,1,4
9,2,3
27,3,3
9,0,1
1701,4,4
189,5,4
189,3,4
27,2,6
9,0,2
63,1,3
729,2,5
81,2,5
9,1,3
243,4,5
27,1,3
63,2,3
189,4,4
27,3,4
81,1,2
3,2,3
1,1,2
81,1,4
27,5,5
63,3,4
243,2,4
189,2,3
20420505,7,6
27,3,3
81,3,4
9,0,3
27,2,4
81,1,2
583443,4,6
15309,3,5
5103,1,6
9,0,3
1,0,1
1701,2,5
45927,3,6
9,3,2
9,1,3
189,2,3
729,0,4
1,2,2
27,2,5
243,1,5
9,1,4
21609,5,4
27,3,4
243,2,6
27,2,4
9,1,3
27,3,6
25515,2,5
9,1,3
189,1,3
45,6,5
1,1,3
27,1,2
27,0,3
110270727,3,6
81,2,3
63,5,5
63,0,6
81,5,5
35721,3,6
243,5,6
81,1,5
189,1,4
9,0,4
27,0,2
9,1,3
63,2,4
81,1,4
81,3,5
3,0,3
27,2,3
243,3,5
189,1,3
15309,2,4
81,0,3
3,0,3
45927,3,5
3,1,3
1701,2,4
9,0,3
21,2,3
243,4,5
27,2,4
189,0,3
243,0,4
15309,4,5
3969,3,5
81,3,4
1,0,1
3,1,2
9,2,1
9,4,3
243,0,5
9,2,3
3,5,4
27,3,4
1,0,1
7,0,3
9,1,3
9,0,2
729,1,4
27,0,1
1,2,1
1,1,1
9,0,1
35721,6,6
1,1,1
9,3,3
189,2,5
1,3,2
9,2,3
189,2,4
27,1,5
1,0,1
9,0,1
1323,3,7
1,0,2
3,2,2
1701,1,3
9,1,1
81,0,2
9,0,3
2187,2,6
3,1,2
8505,3,4
11907,3,6
243,1,3
27,0,2
189,5,5
64827,4,4
189,5,3
27,3,3
9,2,3
9,3,4
441,8,6
3176523,6,7
3,1,2
11907,5,6
567,2,6
243,1,4
27,2,2
27,1,5
1323,5,7
49,3,5
25515,3,5
567,3,5
3,3,2
5103,1,4
9,0,2
9,1,3
9,0,3
1,0,3
243,2,4
3,0,1
9,0,4
189,2,4
189,2,4
27,1,3
729,5,5
2187,2,7
27,0,5
1,2,3
567,1,2
1,1,1
243,1,4
81,2,4
81,1,3
3,2,1
3,4,4
63,1,4
81,0,3
9,0,2
107163,4,4
243,4,5
83349,4,5
583443,5,6
3,1,2
81,2,4
1,1,2
5103,1,4
567,6,6
1,0,2
567,4,6
9,1,1
189,5,7
27,2,3
63,3,4
1,1,2
9,0,5
1,1,2
567,3,4
7,4,5
3,3,5
147,3,5
27,0,3
729,0,4
9,3,4
189,1,4
63,1,3
729,5,5
81,1,3
2187,2,4
27,1,3
1,0,2
81,2,5
27,0,3
441,3,6
189,3,5
27,1,2
27,1,3
25515,3,5
9,0,4
147,5,5
81,2,3
321489,5,7
81,1,3
1,2,3
1323,3,5
81,2,3
1,0,1
243,0,4
9,2,3
63,3,5
1,1,1
9,0,2
1,0,3
9,1,3
1,1,1
63,5,5
1,0,0
81,2,3
729,4,3
81,2,4
81,2,3
27,1,2
3,3,3
81,0,3
81,3,3
3,2,2
3,2,2
1,0,2
1701,2,4
243,3,5
1323,1,5
1,0,1
567,2,4
3,1,3
3,2,2
135,7,6
964467,4,6
9,0,2
567,2,4
567,4,5
729,0,4
9,4,3
27,1,3
567,1,4
1701,3,6
3,2,2
15309,2,6
9,4,4
9,1,1
81,3,4
441,5,5
243,0,5
81,5,4
107163,3,6
27,2,3
1,3,3
1701,3,6
15309,4,8
45,1,4
27,0,3
1,0,0
45927,5,6
49,3,3
81,1,4
1,1,2
81,2,4
9,3,2
3,0,1
189,1,7
27,3,2
9,1,2
1701,3,4
63,3,3
5103,2,4
441,0,4
189,3,5
1,0,3
147,2,5
81,2,5
9,4,3
3,1,3
63,1,3
1701,2,4
9,1,4
11907,2,6
3,2,3
567,5,6
9,2,4
27,1,2
1701,1,3
3969,1,5
243,0,2
189,2,4
81,0,3
1,0,1
63,1,4
135,2,5
1,0,2
3,0,1
189,1,4
1323,1,5
243,3,4
5103,1,4
27,2,3
1,0,2
63,7,5
147,2,4
81,5,4
27,1,3
729,4,4
243,2,4
9,1,3
81,4,5
81,4,4
27,1,2
81,0,2
27,4,4
1,0,2
27,3,3
81,2,5
27,0,2
9,1,2
9,0,4
81,4,4
567,1,4
243,2,4
243,0,5
3,0,1
21,1,3
27,2,3
81,1,3
243,0,3
81,2,3
9,3,3
9,2,4
25515,4,6
9,2,2
63,1,5
1,2,3
27,2,4
9,0,1
27,2,3
1,0,1
729,1,4
729,2,4
1,0,2
1,0,0
1323,1,5
21,1,4
729,0,3
1701,2,5
189,3,4
729,1,4
9,2,4
1701,4,5
27,0,2
81,5,5
1,0,3
3969,1,6
1,0,0
189,2,3
9,3,3
27,3,4
567,4,5
9,1,2
243,0,3
9,2,2
1701,4,5
189,9,6
9,2,2
1,0,1
567,4,4
9,1,3
27,6,6
9,2,3
27,1,3
567,2,4
9,0,1
567,2,4
27,6,5
243,0,3
27783,2,5
1323,1,6
9,3,2
583443,4,6
9,0,1
81,1,4
105,3,5
2187,5,6
9,0,2
35721,5,6
81,3,6
9,1,2
567,3,6
9,1,4
81,3,5
9,1,1
243,1,3
441,0,5
27,2,2
9,1,2
9,3,3
9,0,2
9,0,1
7,1,3
1701,2,6
63,3,4
1323,3,6
27,2,3
3,2,2
81,2,3
45927,3,6
81,0,3
9,1,4
27,2,3
243,0,4
567,1,3
81,2,4
135,0,5
9,0,3
81,2,5
3,0,3
1,0,2
3,1,3
27,2,4
81,1,4
1,0,0
405,2,4
81,2,4
27,3,4
63,3,5
9,1,3
81,2,3
27,2,3
4822335,5,6
5103,2,5
9,1,3
81,2,4
243,3,4
25515,2,4
27,2,3
81,5,5
81,4,5
9,1,3
9,4,4
231525,6,5
3,0,3
1,0,1
1323,3,5
21,1,3
9,0,2
63,4,6
81,0,3
8505,2,6
27,0,3
1,0,1
81,3,4
81,2,3
9,1,2
1,0,1
9,0,3
729,2,5
243,2,6
15309,3,4
9,0,2
3,2,2
1701,2,4
189,4,4
9,0,2
567,3,5
9,3,3
27,0,2
9,2,5
3,1,3
243,5,5
1,0,0
81,0,4
189,2,6
1701,7,5
567,1,5
9,1,2
3,2,2
7,0,3
7,1,3
9,3,4
9,0,3
5103,1,4
27,2,4
147,1,6
45927,3,6
1,1,2
81,2,3
5103,1,5
9,2,3
2187,2,5
1,1,2
3,3,2
27,0,4
3,0,4
27,2,2
189,5,4
3,2,3
9,0,3
567,1,3
27,1,3
9,1,3
567,2,4
27,3,3
27,0,3
81,5,5
189,5,4
567,1,3
9,1,3
3,1,1
3,0,4
3,2,4
27,0,3
27,0,1
3,1,1
81,2,5
1701,3,4
3,1,3
9,3,4
189,0,5
27,2,4
1,0,0
189,2,5
441,3,4
81,4,6
243,2,5
1,2,3
2187,2,4
567,3,5
3,2,3
3,1,2
81,2,4
81,0,5
9,3,4
81,2,4
27,1,2
189,3,3
1,0,2
405,3,7
15,1,4
27,0,4
1,2,2
1323,5,6
1,0,0
9,2,4
918922725,9,10
9,2,3
3,0,3
3,3,2
21,2,5
9,0,2
27,3,4
1,2,3
1,4,2
81,0,5
81,2,4
7,1,2
1,0,1
3,1,2
189,3,3
27,2,2
3,0,4
243,1,5
1,2,2
3969,2,5
9,0,3
63,2,4
3,1,2
729,1,6
3,0,3
81,3,3
3,1,3
243,3,5
9,2,2
9261,4,5
5103,2,6
9,0,1
27,1,2
3,4,5
9,1,3
9,0,4
3,0,2
9,2,3
27,2,3
3,2,3
3,1,2
1701,4,6
81,3,2
5103,1,4
1701,3,4
567,0,5
81,3,5
9,0,3
3,2,1
567,5,5
63,1,3
1,0,1
5103,2,5
9,1,3
2187,2,5
9,1,3
1701,2,5
243,0,2
9,2,3
27,0,1
1,1,2
729,1,5
1,1,5
27,2,4
27,1,4
729,4,4
189,3,4
81,4,5
9,0,3
9,5,4
81,0,4
194481,3,5
63,3,4
15309,6,6
5103,3,7
315,4,5
21,7,6
243,0,4
81,2,4
1,0,0
27,2,4
567,2,4
81,4,6
1701,1,4
189,3,5
9,0,4
27,1,5
3969,4,5
9,1,2
9,0,3
1,0,2
27,4,4
1701,2,5
567,3,3
1,0,1
27,2,3
1,0,1
9,0,4
81,5,4
189,1,2
250047,5,7
27,3,5
21,0,4
567,2,3
3,2,4
3,1,3
1701,2,4
27,4,4
7203,3,4
27,1,3
27,1,3
27,1,3
27,2,5
243,1,3
81,2,3
243,0,4
243,1,5
1,0,3
21,2,5
81,5,4
189,4,4
1,0,1
63,2,4
3,1,3
243,2,3
1323,7,5
9,3,4
9,1,2
1,2,5
15309,6,5
9,1,4
81,0,4
567,1,3
27,1,5
7,0,4
27,1,4
243,1,3
189,6,7
567,4,4
3,1,3
9,3,2
9,0,1
1,0,2
9,0,2
4084101,4,6
9,2,2
63,3,5
27,1,3
1,1,3
567,2,5
1,2,3
1,0,0
567,1,4
81,1,3
27,0,3
15309,3,7
63,3,5
15309,4,5
3,3,4
63,1,4
9,1,3
81,1,3
2187,2,5
3,1,2
27,0,3
1,0,1
1701,4,4
9,0,2
243,3,3
3,1,2
9,2,3
3,1,3
27,3,4
81,1,4
1750329,7,7
9,2,2
3,1,3
3,0,4
729,0,3
27,0,3
9,2,3
50421,5,5
8505,4,6
1701,4,6
1,1,2
9,2,2
567,4,4
81,1,5
9,0,2
9,0,2
81,0,3
63,4,4
5103,1,6
567,3,3
243,2,5
5103,4,4
1,1,2
3,3,3
81,4,5
1701,2,4
3969,0,6
1701,2,3
27,3,4
9,1,4
9,2,2
27,3,4
2835,4,5
81,2,4
1,1,2
1,1,4
567,2,5
1361367,6,5
15309,2,5
9,3,5
3,0,2
1,0,1
1,0,2
27,0,3
27,2,5
3,0,1
729,6,8
7,2,2
15309,3,5
27,4,5
27,2,2
243,2,3
135,2,5
1,0,2
1,1,1
729,3,5
189,2,4
3,0,2
36756909,6,7
27,2,2
567,2,4
9,1,2
81,1,4
1,0,0
27,0,5
81,0,4
9,1,4
3,1,1
1,0,2
9,2,3
147,4,5
1,0,1
243,4,5
81,3,4
1,0,1
81,0,5
243,4,3
243,0,4
3,0,1
9,2,1
9,1,3
3,0,3
441,6,4
321489,2,7
27,0,2
27,0,3
3,0,3
1701,4,4
9,2,4
729,2,5
27,0,3
27,2,3
1,1,2
3,0,1
9,3,4
1,0,3
81,0,3
3,2,3
729,0,4
9,1,2
81,2,2
9,5,4
9,2,3
1,3,4
3,0,2
1701,6,6
27,1,2
1,0,0
27,0,4
9,2,4
567,1,5
1,2,2
81,0,4
3,1,3
27,1,3
243,2,6
567,4,5
27,1,3
243,2,3
63,4,4
27,0,3
7203,4,5
81,2,3
81,2,3
27,3,4
49,0,3
9,1,2
15309,2,5
3,2,3
3,1,2
3,2,3
1701,1,4
9,0,2
9,1,2
1,1,2
81,1,5
189,2,7
81,2,4
567,1,3
1,0,1
9,0,2
3,1,4
189,2,2
9,6,5
9,0,2
729,0,5
63,4,5
27,1,2
3,0,3
189,0,5
7,2,3
27,0,2
9,2,2
27,4,5
9,1,1
441,0,6
1701,3,3
729,1,5
7,0,3
189,3,4
63,6,5
1,0,0
27,3,3
81,3,5
9,2,5
21,2,3
1,1,1
21,4,4
189,3,3
27,1,4
15309,1,5
1701,2,4
81,1,3
1701,3,4
81,3,5
1,0,1
27,0,2
27,0,1
1701,3,5
63,1,3
81,1,5
21,1,3
63,0,3
567,1,4
45,3,6
81,2,3
49,0,3
243,1,4
81,0,4
694575,6,5
9,5,3
1701,4,5
567,1,6
243,2,5
9,5,4
5103,4,4
27,3,3
3,1,1
729,1,4
27,1,2
1,2,2
729,4,5
243,2,5
243,2,3
35721,5,7
9,3,2
81,1,6
321489,4,5
9,0,2
567,3,4
81,3,3
3,2,3
243,1,4
1,1,3
9,5,3
9,1,3
27,2,6
1,1,1
1,3,3
7,2,2
3,0,2
1,0,0
3,2,1
3,1,3
3,0,3
9,0,4
9,2,3
9,0,1
9,1,3
1,1,2
189,1,5
9,2,3
729,3,5
27,0,2
27,5,4
81,1,4
1701,0,4
81,3,5
27,0,5
3,0,2
3,1,2
63,1,4
9,0,1
1,1,2
27,1,3
1,0,0
45927,1,6
729,2,5
729,1,6
1,0,2
81,4,3
81,1,3
2187,2,6
81,3,4
3,2,4
15309,3,5
1,1,2
1,0,1
64827,5,5
81,2,4
3,2,4
9,2,3
3,0,1
27,0,3
3,3,2
21609,5,4
8505,1,5
9,2,3
1,0,0
27,0,3
3,1,3
9,2,3
2187,3,5
63,4,4
63,7,5
243,0,5
27,1,4
567,3,4
243,5,4
567,3,5
63,1,5
1,1,1
1701,2,5
7,1,3
243,1,4
27,3,2
9,0,1
540225,6,7
9,2,3
567,2,4
45927,5,5
567,4,6
3,1,2
81,4,5
137781,1,4
9,3,3
1,0,0
27,1,4
81,3,5
81,4,3
3,2,2
9,2,5
1701,2,5
1,0,2
1,0,2
9,0,2
27,0,3
5103,4,4
27,5,5
3,0,3
189,1,4
3,1,3
21609,4,4
27,0,3
9,4,5
1,0,1
27,2,4
11907,3,7
27,3,4
189,3,3
27,4,4
9,0,2
7,2,2
9,0,3
321489,5,8
9,0,3
189,2,6
1,2,2
3,0,3
9,2,3
189,1,6
243,2,5
9,1,3
3,1,2
189,2,4
9,1,2
189,1,3
9,0,2
1,0,1
7,2,3
243,2,4
1701,4,5
27,4,3
9,4,4
9,2,2
3,0,2
9,0,2
5103,2,3
6561,0,6
27,3,5
15,2,4
27,2,4
729,3,5
81,2,3
9,1,3
9,2,3
81,1,2
27,3,4
35721,1,7
81,0,4
1,2,2
1,1,2
9,1,2
9,0,2
6561,0,5
9,0,1
43758225,5,7
9,1,3
441,7,5
1,0,1
27,0,5
9,4,5
9,2,3
27,1,2
81,1,4
243,3,5
243,4,4
9,0,3
243,1,4
729,2,4
1701,5,3
9,1,3
243,0,4
1701,4,6
81,4,5
9,3,4
27,2,2
27,0,3
81,4,3
3,0,1
81,3,4
1701,5,5
81,3,5
9,0,1
243,3,3
3,0,1
9,0,2
81,4,2
9,1,2
243,0,3
243,1,3
27,2,3
1,0,2
9,3,3
567,4,3
243,2,5
9,1,1
243,2,4
27,0,5
189,1,5
189,3,4
1,0,3
81,0,2
1,0,2
27,0,1
81,4,4
1701,5,5
321489,5,7
6561,0,4
3087,2,6
27,0,3
9,3,3
81,4,5
189,2,3
81,0,4
15309,4,5
9,1,3
453789,6,6
63,5,5
3,0,3
1,3,3
567,5,3
9,2,2
81,1,3
189,1,4
7,1,2
9,1,2
27,1,3
729,0,4
1,0,1
441,4,4
7203,5,4
15309,2,4
567,4,7
5103,1,3
27,0,3
81,2,5
9,2,3
9,0,1
27,0,2
9,1,2
105,3,6
81,0,2
9,1,2
694575,7,6
3,4,2
729,0,4
9,0,4
27,0,3
27,2,3
9,0,2
3,0,3
21609,2,4
1701,4,4
3,3,4
567,2,4
9,2,4
9,3,4
9,0,1
1,0,2
9,0,2
9,4,3
9,0,2
3,0,2
76545,4,7
3,2,3
21,3,3
9,2,2
3,2,3
2187,1,5
15309,6,6
81,1,3
81,0,3
9,4,3
243,0,4
9,0,2
27,0,3
9,1,3
81,1,4
243,6,6
27,0,4
9,1,3
3,1,2
27,3,3
27,4,4
1701,3,6
567,2,6
9,2,3
1701,2,7
49,0,4
49,2,5
1,0,2
81,2,3
81,2,3
81,2,5
27,2,3
189,3,6
9,2,3
189,2,4
1,1,1
9,0,3
3,1,2
567,1,3
243,1,4
63,2,5
3,2,2
729,0,3
3,0,2
9,0,3
243,0,5
81,1,3
49,3,4
3,1,2
729,6,7
9,1,5
15309,4,6
27,3,3
729,3,6
1701,4,5
567,1,3
9,0,3
9,0,1
729,3,5
21,2,3
9,0,2
9,4,4
243,4,4
1,0,2
9,2,3
9,2,3
3,1,3
243,0,3
27,0,3
81,1,3
3,1,2
27,1,3
27,4,3
7203,2,5
81,1,3
7,1,3
11907,4,5
147,2,4
27,0,1
1,0,1
1323,1,5
15309,4,5
9,0,2
27,2,4
15309,2,5
9,1,1
5103,3,5
2187,0,3
81,2,4
5103,2,5
27,0,3
243,1,5
9,0,2
81,0,4
1701,2,4
3,0,1
3087,4,6
7,1,4
1701,3,5
567,1,4
729,3,6
81,4,4
1,1,2
567,5,5
14586075,5,6
441,6,5
243,0,3
81,4,5
27,1,4
64827,3,6
9,2,3
1,0,2
3,0,1
1,0,1
441,2,5
27,2,2
243,3,6
81,1,4
189,3,4
1,0,1
27,1,3
9,3,2
9,1,3
81,2,4
107163,2,8
243,4,5
27,5,3
15309,4,5
27,2,4
1,1,2
1,0,2
243,3,5
1,0,1
15309,3,4
243,1,3
567,2,3
27,2,2
27,0,3
189,4,6
567,4,4
9,0,3
3,0,2
27,4,4
567,1,4
1,0,1
3,2,4
81,2,4
27,2,4
81,6,5
27,0,3
1,0,2
27,2,4
9,1,2
1701,4,4
194481,2,6
81,3,4
243,3,4
1,0,1
27,2,2
63,1,3
9,3,3
1,2,3
1,1,2
1323,4,5
9,2,3
81,1,4
81,1,2
27,3,4
81,0,4
9,1,3
9,2,2
21,5,4
321489,4,6
27,2,3
5103,3,4
63,0,4
9,2,3
77175,7,7
27,0,4
27,0,2
441,2,4
9,0,2
3,1,3
7,0,2
3,4,4
147,0,4
9,2,3
9,0,1
81,5,5
243,4,3
2187,0,4
9,0,3
1,0,1
189,1,4
9,2,4
1701,5,5
45927,4,4
15309,3,5
729,2,4
3,0,3
81,4,6
1,0,3
9,1,3
1,0,1
189,2,4
9,2,2
27,3,3
1,0,1
9,0,1
3,1,3
1,0,2
9,2,3
1,1,3
81,0,4
189,3,4
567,3,5
729,2,5
27,0,3
27,4,5
243,2,6
9,1,2
81,3,3
7,1,2
81,0,4
189,2,4
3,0,3
1701,2,4
1,0,2
9,3,3
3,1,3
1,1,1
81,4,4
3,2,3
567,1,5
3,0,2
27,0,2
3,0,2
9,2,3
3,0,4
194481,2,6
81,0,3
1,0,1
2187,0,5
9,0,2
3969,5,5
21,2,4
9,1,3
27,0,4
3,0,3
27,1,4
9,0,4
1,1,1
189,4,4
27,1,6
567,2,3
81,2,3
1701,4,7
81,4,4
1,0,1
243,4,7
27,4,6
1,1,1
9,1,4
9,2,2
27,3,2
64827,3,6
3,2,3
3,0,2
9,0,2
81,4,4
7203,5,5
11907,2,5
9,0,4
243,0,3
7,3,3
9,1,2
9,3,3
3,2,2
5103,3,4
9,0,2
9,4,5
5103,2,4
107163,3,5
189,3,6
1,0,0
2187,3,6
1,2,2
1,1,2
81,4,5
27,4,4
1,0,3
1,0,4
81,1,5
81,2,4
1,2,3
1,0,0
1323,3,5
1701,4,4
729,2,6
27,1,3
27,1,5
81,3,5
27,0,3
45,5,5
3,2,3
243,1,4
3,1,3
147,3,5
27,1,3
567,7,6
194481,4,6
1,1,1
3,3,3
1,3,3
9,3,3
27,4,5
1,0,3
27,1,3
9,0,1
3,1,3
81,0,4
189,3,4
9,2,3
1,0,1
25515,6,6
27,2,4
63,2,3
63,4,3
9,5,4
189,3,3
9,0,2
9,1,6
441,6,4
189,3,4
81,3,3
9,2,3
137781,3,6
81,1,3
1,1,3
189,3,4
9,0,1
49,2,4
27,2,2
3,2,4
76545,1,4
3,2,3
27,2,5
243,2,4
243,5,5
25515,5,6
81,3,3
27,1,3
343,2,4
9,3,4
729,1,7
9,0,3
9,3,2
1,0,2
243,3,5
3,1,2
243,2,5
1,2,2
63,1,4
81,0,3
1701,1,6
2187,1,4
9,3,2
81,0,4
189,1,4
27,0,4
9,2,2
2083725,5,7
194481,4,6
27,2,3
729,1,3
7,1,2
189,3,5
189,1,3
3,1,2
3,5,4
3,2,1
3,0,2
1,0,2
49,2,4
81,2,6
1,3,3
3,1,3
15309,2,5
9,0,1
9,3,4
189,2,2
81,2,4
9,0,2
3,0,1
3,0,1
3,2,4
1,4,5
5103,7,7
63,2,5
27,3,2
1,1,1
27,1,2
81,0,4
1701,1,3
1701,1,6
3,3,4
567,3,6
81,4,4
27,2,4
3,2,2
81,1,4
243,2,3
9,0,2
3,0,2
81,4,4
27,0,2
9,1,2
27,4,3
9,1,3
9,1,3
27,3,4
27,1,4
7203,3,4
567,4,6
9,0,2
63,2,3
1,0,2
9,1,1
27,1,2
81,2,3
1,0,2
3,0,1
1,0,1
189,5,5
3,2,3
81,4,6
243,2,4
9,2,4
729,4,6
3,0,1
81,0,2
1,0,0
21,3,2
6561,1,6
243,4,5
441,3,5
81,2,4
3969,3,4
1701,4,5
1,0,1
1701,1,4
81,6,4
3,2,4
1,0,2
81,1,3
1701,2,4
27,0,2
1,2,2
21,1,2
9,1,1
9,5,4
27,3,3
81,1,3
63,4,4
243,4,6
27,2,2
81,0,3
35721,4,6
3,0,2
81,2,4
27,1,4
1701,4,7
9,3,4
27,0,5
21,4,5
49,4,4
9,3,3
189,8,5
27,0,4
43758225,8,10
3969,3,4
21,1,2
81,1,3
243,5,5
189,1,2
1701,4,5
1701,5,4
567,2,4
1,0,0
81,2,3
3,3,2
1701,4,3
27,1,4
729,2,6
9,2,2
81,4,4
27,2,3
1701,4,4
9,1,5
1,0,1
81,2,4
1701,3,4
567,2,4
27,2,5
5103,2,6
1,0,2
3,1,2
243,2,4
81,1,4
137781,2,5
1,0,2
81,0,2
3,0,2
5103,3,4
1701,4,4
11907,3,5
189,2,5
27,1,3
3,1,3
81,3,5
1,2,2
3,1,3
9,3,4
1,5,3
9,2,3
63,4,4
63,1,4
3,0,2
189,1,5
243,1,2
3,1,1
243,0,3
15309,4,6
81,2,5
3,0,2
49,4,4
27,5,4
81,2,5
81,0,3
27,1,2
7,3,3
1,0,2
27,2,3
3,3,4
81,2,4
9,1,4
9,0,3
21,1,4
21,1,2
21,1,3
81,1,4
7,1,4
189,3,4
1,0,4
27,0,2
1,0,4
3,2,2
3,0,1
81,0,2
9,0,2
27,3,5
7,2,3
3,0,1
3,3,3
231525,4,5
63,3,3
243,2,4
9,1,2
964467,5,6
21609,2,4
3,1,2
27,0,3
9,2,3
1,3,2
2083725,9,7
9,0,4
729,0,4
15309,2,5
81,1,4
1,3,2
3,0,3
1,1,1
9,2,2
1,0,0
27,0,3
3,2,3
81,2,3
27,0,3
27,0,2
1,1,1
81,1,2
81,1,4
83349,9,8
3087,5,8
27,1,4
1,3,4
21,2,3
243,0,5
9,1,2
567,1,4
27,2,3
9,1,2
81,2,2
9,1,2
1,0,1
567,4,5
63,4,4
8505,4,4
1,0,0
7,0,3
81,2,4
3,0,1
1,0,2
81,1,4
3,1,2
243,2,6
81,5,4
9,1,3
9,0,3
9,3,3
6561,0,3
243,3,4
2187,2,5
3,0,1
9,0,1
9,1,2
27,0,3
5103,1,5
243,0,4
9,0,1
81,0,4
81,3,5
9,3,2
9,1,2
9,2,3
189,1,5
243,3,5
1701,2,4
5103,3,4
1029,1,5
1,0,2
1,0,2
49,5,4
3,0,1
3,0,3
3,0,2
567,4,5
81,4,3
9,0,2
9,1,4
3,1,2
27,1,3
27,1,4
81,2,3
1607445,6,5
2187,5,5
9,1,3
1,0,3
1,3,4
189,3,3
