r,m,n_eq
3,4,3
1,2,2
6561,2,6
27,4,6
1,2,3
9,3,3
27,1,2
3,2,2
1,0,1
2187,2,6
189,3,4
3,0,3
27,2,4
81,3,2
1,0,2
27,6,5
9,0,4
8505,1,5
9,0,2
3,1,4
63,3,4
189,3,5
1701,2,3
45927,4,7
243,2,4
729,3,5
27,1,2
63,5,4
9,4,3
9,0,2
27,1,3
3,0,2
5103,4,6
9,1,2
243,3,5
189,1,3
189,1,3
81,3,3
9,1,2
3,0,2
3,1,1
9,1,3
5103,1,4
3,1,2
3,1,3
729,1,5
1,1,3
441,6,5
217005075,5,8
243,1,3
81,3,3
15309,5,5
1,1,1
9,2,2
1701,2,4
189,2,3
729,2,5
9,1,3
3,1,3
5103,1,6
9,4,4
3,3,4
3969,2,5
9,1,4
1,0,2
567,1,5
27,1,4
63,1,3
189,1,3
45927,1,4
81,2,4
9,0,3
27,2,4
1,0,0
27,0,2
27,3,4
3,1,3
81,2,4
243,2,4
243,3,5
21,2,3
1,0,1
1,1,2
9,2,3
1,2,1
3,0,3
1,2,3
3,1,3
9,0,1
3,2,3
107163,4,4
3,1,2
243,0,3
1,0,0
27,0,2
5103,7,6
3,2,2
9,1,2
45,1,4
9,3,3
27,1,3
189,2,6
81,1,5
189,4,6
45927,3,5
27,2,3
243,1,3
189,4,5
81,0,3
189,1,2
243,3,5
243,1,5
5103,4,4
5103,5,6
3,1,1
9,1,2
81,2,4
189,2,4
1323,2,5
1,1,1
3,0,3
63,5,4
81,0,4
189,1,2
27,5,4
3,0,2
567,1,4
1,0,0
567,4,5
81,2,2
7203,3,4
27,0,1
567,3,4
9,0,2
21,2,3
1,0,2
9,0,2
27,3,4
147,0,6
1,0,1
9,0,4
63,1,5
81,1,4
9,2,2
9,0,2
9,2,4
27,1,4
189,2,6
189,3,4
27,0,3
1701,2,4
27,1,2
9,0,2
243,1,3
729,3,3
27,1,2
81,1,4
729,1,5
3,0,1
1,0,1
189,1,3
9,1,3
567,1,3
5103,2,4
45927,2,6
1701,1,5
1323,4,6
441,3,7
9,4,5
3,0,2
21,0,4
27,5,5
49,0,3
81,1,2
1,0,1
1,0,0
1,1,1
189,5,5
81,3,3
49,3,4
567,4,5
15,1,3
63,2,3
1701,4,3
81,3,3
567,6,5
21,1,4
9,1,3
567,4,4
243,4,4
1,2,4
63,3,4
1,0,0
81,0,6
3,1,2
2401,7,7
27,2,3
81,1,4
81,0,3
9,0,2
9,0,3
1701,2,4
1,0,2
1,0,1
9,0,1
81,1,3
27,1,3
9,0,2
81,0,2
15309,4,6
3,1,2
27,0,3
1,2,5
27,0,4
243,0,4
81,2,4
567,4,5
9,1,4
7,1,3
243,0,7
9,0,3
1,4,3
11907,3,6
9,0,2
3,0,2
3,1,2
81,0,3
27,0,3
189,2,5
3,0,1
21,3,3
1,0,1
9,0,3
9,1,2
27,0,3
63,1,4
9,1,2
2187,1,5
49,3,4
9,2,3
729,2,3
567,2,5
21,4,5
9,3,4
27,1,4
1,0,3
189,1,3
567,2,4
567,3,4
63,3,6
567,1,3
27,1,4
1,2,2
81,3,4
27,2,4
81,1,3
3969,3,5
27,1,2
27,1,5
9,2,1
81,0,3
5103,4,5
63,3,4
567,4,5
3,2,2
15309,5,6
1701,5,4
81,3,3
3,1,3
63,2,4
49,0,4
27,3,4
63,3,4
1,1,2
9,0,1
63,2,4
3,0,1
5103,4,4
63,1,5
9,4,4
441,5,6
243,3,5
189,1,4
1701,5,5
9,1,3
3,1,4
3,0,1
9,0,2
729,1,4
27,1,3
81,3,5
9,1,2
81,3,5
567,5,5
9,1,2
9,4,2
27,0,2
49,0,4
27,4,4
81,4,5
81,4,4
9,0,3
1701,1,6
2187,0,4
9,1,2
9,1,4
63,1,5
5103,3,5
27,2,3
453789,8,6
729,6,7
21,4,5
9,1,2
1701,5,5
27,4,3
21,4,4
243,1,5
81,4,4
27,0,5
9,0,1
63,2,4
5103,4,4
27,2,3
9,0,3
81,3,4
5103,1,5
9,2,1
63,3,7
243,3,5
9,3,4
243,0,3
243,1,3
27,3,3
243,1,4
9,1,3
3,1,3
27,2,3
27,0,5
9,2,2
63,3,4
11907,3,6
567,1,4
5103,5,6
81,4,4
1,0,0
81,2,3
567,4,4
63,2,4
9,1,2
81,0,2
81,3,3
27,1,3
3,0,1
694575,5,6
21,1,2
27,0,2
9,3,4
27,2,2
1,3,2
1,1,4
63,5,5
1,1,1
3,2,3
729,0,3
147,4,5
243,0,4
9,0,1
27,0,3
243,1,3
567,3,3
27,2,4
9,0,3
3,2,3
1701,5,6
567,2,4
9,1,2
243,2,5
27,0,4
243,0,5
81,1,4
9,3,5
27,2,3
27,1,3
1058841,2,6
15309,7,5
11907,8,6
9,4,5
27,2,3
535815,4,6
243,2,4
7,3,2
3,1,1
76545,4,9
1701,3,4
9,1,3
9,4,5
21609,4,5
729,0,4
7,0,2
9,2,4
3,1,3
1701,3,5
3,0,4
49,0,5
243,1,2
3,0,1
7,4,4
3,1,1
81,4,4
27,1,3
81,0,4
3,0,3
1,1,2
189,2,4
9,0,2
3,1,1
81,3,3
63,3,3
27,3,4
21,2,3
81,2,5
2835,2,3
729,4,4
5103,1,5
27,3,2
1,0,1
3,1,1
63,3,3
81,2,3
3,0,1
9,2,3
27,2,4
9,1,2
9,0,3
567,3,4
9,0,3
729,0,4
9,3,5
9,2,2
27,1,4
729,3,4
3,1,1
9,0,3
1323,6,5
27,2,5
1,0,2
2835,7,7
9,1,3
1,1,2
9,2,3
9,0,1
27,1,3
567,3,4
3,0,2
3,4,3
441,0,4
27,1,4
7203,4,4
243,0,3
1701,3,4
729,4,5
9,1,3
1701,3,3
9,0,3
27,2,3
535815,3,6
27,0,3
27,4,4
27,3,5
21,2,5
27,1,5
189,4,5
63,4,4
7,2,4
5103,3,5
27,3,5
567,1,3
694575,4,6
9,4,4
21,2,3
9,0,1
49,4,5
9,0,3
1,0,2
567,3,3
9,1,2
9,1,4
1,1,1
567,5,5
1,0,2
9,2,5
9,2,3
1,0,1
3,1,3
9,1,3
63,3,5
27,3,3
9,2,4
3,0,2
1701,3,4
9,1,3
225,5,6
81,1,4
9,0,3
27,2,3
21,2,3
21,1,4
9,1,2
567,3,7
9,1,4
3,2,3
81,1,4
1323,0,5
9,0,2
9,1,2
63,4,5
1,0,2
1607445,6,5
3,1,3
3,0,1
81,1,3
81,2,3
27,1,2
2893401,6,6
243,0,3
9,0,3
1,0,0
7,3,2
9,3,3
27,0,3
81,0,2
9,0,3
729,0,5
189,1,5
3,2,1
81,1,5
81,1,5
1701,4,5
3,0,3
243,4,5
7,0,3
3,1,1
5103,4,5
9,0,2
2835,2,4
9,2,3
81,2,3
243,1,4
3,1,5
1,4,3
27,1,4
81,2,5
3,3,3
81,3,4
7,1,3
3,0,3
243,2,6
27783,1,5
3,0,4
9,0,2
81,2,4
3,2,3
27,2,3
27,0,2
243,3,4
1,0,0
9,0,2
27,2,2
189,1,2
9,1,2
321489,4,6
1,0,2
1323,1,5
189,3,4
441,4,4
3,0,2
243,5,4
9,4,5
3,2,3
27,2,3
567,4,5
9,2,2
9,1,1
81,4,4
27,0,3
729,3,6
81,0,3
1,0,2
3,0,2
1701,4,5
343,2,5
9,0,4
27,0,1
27,3,3
1,0,1
81,2,4
189,6,4
9,2,4
243,0,3
3,1,2
1701,3,4
81,2,4
1,0,1
27,0,2
2187,3,5
3,1,2
3,0,3
189,2,4
243,2,4
27,2,3
27,3,3
1701,2,4
27,2,3
27,0,2
27,1,4
81,3,5
21,3,3
243,2,5
81,2,3
7,1,2
81,1,4
1,1,3
27,2,4
9,2,3
7,2,3
1,1,1
9,0,3
27,0,3
2187,2,6
243,2,6
9,3,3
3,1,2
81,2,4
9,1,3
1,0,2
567,3,4
77175,3,6
9,1,2
27,0,3
21,2,2
1,1,1
189,1,3
27,4,4
81,1,6
9,1,2
81,1,4
1,0,2
63,2,5
1,1,2
3,2,1
27,0,5
9,0,1
81,2,3
243,0,4
3,0,2
567,1,5
81,0,2
1701,1,3
243,0,5
81,3,4
9,1,3
1701,2,4
729,0,4
1,0,1
567,1,4
15309,2,4
3,1,3
567,3,3
63,4,4
3,4,2
27,2,5
64827,4,6
81,0,2
3,0,1
9,1,1
9,1,3
3,2,1
7,2,4
27,0,3
729,1,6
35721,3,5
189,6,6
9,1,1
3,0,1
27,2,5
81,1,4
189,2,4
189,2,3
1701,1,5
5103,4,7
27,5,4
107163,6,8
15,3,3
9,2,2
27,3,4
2835,3,4
81,4,3
9,2,5
5103,2,4
243,0,6
9,2,5
1,0,1
243,2,5
81,1,4
729,0,5
9,0,1
81,3,4
3,2,2
3781575,4,7
27,0,2
5103,4,5
147,0,3
27783,3,5
243,1,3
3,3,2
81,2,4
81,0,3
11907,4,5
243,2,3
729,1,3
243,3,5
2835,3,5
9,1,3
81,2,2
9,4,3
5103,5,4
3,2,4
63,2,3
147,6,5
27,0,3
27,0,3
9,0,3
243,0,2
81,1,3
9,1,2
45927,3,7
81,2,2
3,0,3
3969,3,4
49,5,6
1,1,2
3,1,3
9,0,2
729,6,7
1,0,0
3,0,5
81,5,5
21,2,3
9,1,2
27,2,6
9,1,3
243,3,4
1,0,1
243,0,3
27,2,3
729,4,6
21,2,2
1701,1,4
243,1,4
3,3,2
243,2,4
189,1,2
567,4,6
81,3,3
3,1,2
9,3,3
81,4,3
2835,4,4
1,1,3
15309,7,5
3,2,1
9,2,3
567,4,3
9,1,3
1,4,2
9,2,3
243,4,5
27,0,2
9,0,4
567,5,4
7,0,3
9,0,1
1,2,3
1701,3,3
189,3,4
567,2,4
81,1,3
21,2,3
81,4,4
194481,5,5
243,0,4
9,0,3
9,0,2
9,2,3
9,0,2
189,2,4
567,0,5
9,2,4
1,2,3
27,2,5
3,4,4
9,2,2
382725,5,8
567,4,4
81,0,4
5103,1,5
1323,3,6
243,0,3
243,2,6
25515,6,7
567,1,4
81,3,4
5103,4,3
1701,7,7
3,0,1
9,1,2
21,2,3
231525,3,7
49,5,5
15309,3,6
9,0,4
729,2,4
1701,6,6
567,5,6
27,5,5
50421,4,5
27,3,4
81,3,3
7203,4,4
9,2,5
567,2,5
189,3,6
8505,5,5
9,3,5
1,1,2
9,0,2
9,1,3
5103,1,3
1,1,2
1,3,4
567,2,5
63,1,5
567,1,4
27,0,3
21,1,3
1,0,0
1,0,1
81,1,4
1,0,2
189,3,4
3,0,3
27,3,3
27,0,3
11907,1,6
27,2,3
1,0,1
9,0,1
81,3,5
243,2,4
81,2,4
27,1,5
729,0,5
27,3,4
243,3,4
1,0,0
9,3,2
27,3,5
3,4,4
27,3,3
3,1,3
9,2,3
567,2,4
3,1,3
243,0,4
81,3,4
243,2,3
9,2,1
189,2,4
64827,4,5
9,2,3
9,2,2
3,2,2
1,0,0
3,1,2
21,1,3
243,2,4
9,0,2
9,1,4
81,4,4
1,0,1
9,2,3
107163,7,5
3,0,1
1215,2,7
15309,5,5
9,4,4
49,0,4
27,2,4
9,0,2
3,1,4
1,0,2
9,1,3
6615,3,8
21,0,3
27,3,4
7,1,3
729,5,5
1,3,3
1,0,3
81,3,5
6561,1,5
9,2,3
9,5,4
63,1,5
27,3,3
3,1,3
27,1,3
81,3,4
1,0,0
7,1,2
567,1,3
729,2,6
81,0,3
107163,2,4
729,3,6
2187,2,5
81,1,3
189,2,2
567,1,4
3,1,3
81,3,5
25515,4,6
1701,4,5
137781,3,5
9,0,2
35721,4,4
2835,5,4
9,1,2
63,2,5
189,2,4
3,2,1
9,2,4
81,1,3
3,0,1
9,0,2
81,4,4
567,1,5
3,1,3
1,0,3
243,3,4
1701,0,4
1,1,4
9,2,3
81,1,5
64827,3,4
1,0,2
9261,2,6
21,4,4
27,0,3
1,4,2
9,6,4
1701,4,5
3,0,4
63,2,5
2187,5,5
27,0,3
1701,2,4
81,0,2
27,3,4
567,2,3
9,2,6
15309,4,7
9,0,3
243,0,3
81,3,4
243,2,5
3,1,1
9,1,1
5103,3,5
21,3,4
81,1,6
27,0,2
81,2,4
81,2,3
1,1,2
5103,2,4
63,1,3
21,0,2
21,3,4
1701,2,5
3,3,3
1,1,1
3,2,2
3,2,2
27,2,2
9,0,4
9,0,2
567,3,3
81,0,3
27,0,2
81,1,2
27,1,3
27,2,3
1,0,1
1,0,1
3,3,2
3,0,2
9,0,2
1,0,0
27,2,3
243,6,7
1,1,3
3,0,1
27,1,3
27,6,5
9,4,3
189,2,4
63,1,3
9,0,3
3,1,1
81,1,4
243,0,3
3,2,1
3,1,1
5103,2,5
27,1,5
243,4,5
81,1,5
9,0,2
189,2,5
9,1,2
81,0,2
9,1,3
1,0,2
81,1,5
27,0,3
5103,1,3
1701,4,4
9,0,2
2187,2,5
27,3,5
81,1,4
27,1,3
27,2,2
11907,2,6
147,3,4
27,1,4
1,0,2
2401,2,7
567,3,6
3,0,2
64827,5,5
63,3,4
1701,4,6
1,0,3
27,2,4
27,0,3
243,0,4
27,2,2
1,0,1
194481,4,5
9,0,1
1701,2,4
81,3,3
3,2,3
9,0,2
81,3,5
1,1,1
9,0,3
81,1,3
9,2,3
1,0,0
9,0,2
7203,4,5
5103,2,4
567,4,4
77175,6,4
27,1,4
9,1,4
243,2,4
27,2,4
21,4,6
27,1,2
27,2,4
27,0,3
243,2,4
63,1,4
9,0,3
9,3,3
35721,5,5
1,1,2
9,2,1
9,0,1
189,3,5
3,2,2
27,1,3
27,2,3
1,0,2
9,0,3
27,4,4
9,3,3
1,0,4
441,3,6
189,3,4
2835,3,4
1,0,2
3,0,3
27,0,3
27,1,4
9,3,3
81,2,3
81,3,2
25515,4,5
189,3,3
9,2,4
1,0,1
1029,2,5
1,2,2
27,2,4
189,3,5
64827,4,7
583443,6,5
81,2,5
567,1,2
1,0,2
7203,3,4
63,3,3
243,1,3
3,2,3
7203,4,3
189,3,3
243,3,4
27,0,4
243,0,3
81,2,5
27,4,3
1701,2,3
567,4,5
147,4,5
81,2,2
9,2,4
243,1,4
1701,2,3
1,2,2
27,5,3
1,3,6
81,3,6
21,1,4
81,2,5
9,1,3
5103,3,5
49,2,4
9,3,4
9,4,3
729,5,6
189,1,2
63,3,3
49,0,4
27,2,5
3969,3,5
9,0,4
9,2,2
3,0,3
135,1,7
45927,2,5
15,0,4
9,1,3
1701,4,6
3,0,2
27,2,3
9,5,5
7203,6,4
63,1,4
567,3,4
27,1,3
81,2,4
9,1,2
9,1,4
81,3,3
107163,3,5
81,1,4
3,2,3
9,3,4
3,1,3
3,2,5
9,2,4
3,0,2
15309,2,4
27,0,2
9,2,3
9,2,3
9,1,3
64827,7,6
81,4,4
9,2,1
1,3,3
27,2,5
3,0,2
1323,2,5
9,3,3
1,2,3
9261,6,5
189,1,2
1,0,0
243,3,5
1,1,2
9,0,2
3,2,3
81,1,3
15,3,4
21,3,3
1701,3,6
25515,2,7
1,1,2
3,0,3
7,3,3
1701,2,3
63,2,4
1,1,1
1701,3,4
81,1,2
9,0,2
9,3,2
9,1,3
7,2,3
9,0,2
63,1,3
27,2,4
688905,2,5
81,1,4
27,1,3
81,3,4
9,0,2
81,3,3
1,1,2
315,5,6
9,1,4
25515,3,6
27,0,3
1,0,1
27,3,4
147,7,4
27,1,4
81,0,3
1,0,1
1701,4,5
21,1,4
27,0,2
9,1,3
81,0,3
3,0,2
27,1,4
1,1,2
3,1,4
729,3,5
27783,5,6
81,1,3
243,0,5
27,0,4
63,4,5
15309,3,4
9,4,2
9,2,3
1701,3,4
3,3,4
243,1,2
21,3,2
5103,2,4
441,2,6
243,2,5
27,1,4
321489,10,8
189,5,5
1701,2,4
189,3,5
81,2,5
243,2,5
5103,2,3
1,0,3
27,3,3
7,1,4
1,1,2
27,0,2
1701,4,5
1,0,0
81,1,3
7,1,4
81,0,4
9,2,2
3,2,1
9,4,5
1,0,2
81,0,2
1,0,1
1,0,2
27,2,3
567,1,5
1,1,2
5103,6,7
81,1,4
9,0,3
81,2,5
1701,3,3
1,0,2
3,1,2
189,3,4
3,1,3
27,2,2
189,4,4
567,4,4
81,1,4
27,3,5
729,0,5
81,0,3
9,0,3
243,2,5
9,0,2
189,4,4
27,1,3
49,3,6
81,1,3
5103,3,6
2835,8,7
3,1,2
63,5,4
243,1,3
27,0,2
3,0,2
9,1,3
3969,0,5
81,4,3
27,0,4
9,1,2
567,1,6
9,0,2
81,0,4
189,7,7
7,2,3
49,0,2
3,1,2
1,1,2
81,0,3
7,1,3
21,2,4
1,0,3
9,1,3
1,0,1
9,0,2
9,0,4
243,2,3
1701,2,5
189,2,3
9,1,2
9,0,1
9,1,4
243,2,5
3,0,2
9,3,3
1,0,0
81,2,4
567,2,4
49,3,4
729,1,4
1,0,1
1701,4,4
729,4,5
1,0,1
9,1,1
1,0,1
5103,5,6
27,3,5
3,3,3
27,3,4
81,2,5
27,1,2
1,0,1
9,2,2
243,2,3
1,1,2
7,0,2
441,3,5
81,4,6
81,2,4
81,1,3
9,3,4
15309,5,7
81,3,3
3,5,3
243,1,4
243,2,4
1701,2,3
81,2,3
81,1,4
189,1,4
9,2,2
9,0,3
3,0,1
8505,5,5
1701,4,6
27,1,2
3969,0,6
81,0,3
27,3,3
9,2,3
21609,2,4
15309,1,4
453789,5,7
81,1,3
21,1,4
729,2,4
3,1,1
567,6,5
1,1,2
27,1,3
9,4,4
321489,4,7
189,3,3
27,0,2
5103,2,5
9,1,2
3,0,1
3,0,2
27,1,4
9,0,2
35721,4,5
81,1,3
45927,3,5
27,0,3
7,0,3
1701,3,5
1,1,2
27,0,3
27,2,3
567,3,3
1,2,1
27,0,3
243,4,5
1,1,1
3,2,3
81,1,3
151263,3,6
27,0,2
27,2,3
27,0,3
135,4,5
1701,2,5
9,2,3
189,3,2
27,0,5
27,0,2
7,0,2
9,1,3
81,3,5
9,0,4
1701,3,3
27,3,3
63,4,4
567,3,5
9,1,3
81,0,3
7,1,3
729,7,6
3,0,2
27,0,3
27,2,4
3,1,3
63,4,4
81,4,5
27,3,3
9,0,2
3,3,3
3,0,1
27,4,4
7203,2,6
81,1,2
9,2,3
1323,0,5
9,0,3
81,1,5
9,1,4
5103,3,6
3,0,1
9,2,3
1,2,2
3,0,2
27,1,3
9,2,4
27,2,5
7,2,4
21,1,2
5103,4,5
21,1,2
3,1,1
567,4,5
63,1,4
27,1,4
9,2,3
15,2,4
567,3,4
5103,2,5
25515,3,5
243,1,4
3,2,3
81,0,4
81,2,3
1701,4,5
63,3,5
243,0,3
243,1,4
3,0,3
9,1,2
21,1,3
81,3,4
81,2,4
27,2,5
27,3,4
81,2,4
567,1,5
1,1,1
27,0,3
243,1,4
9,2,2
2187,1,5
45,4,4
45927,5,6
2187,1,5
1,1,2
3969,3,4
243,1,3
1,0,2
27,2,4
1701,2,3
3,1,1
567,4,4
1,3,3
3,0,1
147,3,6
1701,4,5
21,2,3
81,6,6
11907,8,7
3,1,2
81,1,3
3,1,2
189,3,6
27,2,3
147,4,5
9,2,4
27,1,4
27,1,4
27,0,3
27,2,2
1701,2,4
81,1,4
441,6,6
147,1,5
729,1,5
27,1,3
1,3,3
3,0,2
729,1,4
243,1,4
9,0,1
27,0,3
81,1,3
189,4,3
9,1,3
27,2,3
27,2,4
27,1,4
3,1,3
729,2,5
9,0,3
15309,1,4
49,1,5
9,1,2
27,3,5
9,0,3
9,1,3
81,3,5
3,0,1
9,0,1
27,0,2
1701,1,4
9,2,1
3,2,3
9,0,2
81,4,4
81,1,2
27,1,3
1,1,2
81,5,4
1,0,1
9,2,2
14586075,6,7
243,1,4
9,0,2
27,3,4
1,3,4
21609,5,4
27,1,5
1,2,2
567,2,5
1,0,1
27,0,2
27,0,3
3,0,2
27,1,3
1,0,2
9,3,2
15309,1,4
27,0,2
189,2,4
189,1,4
1,1,3
9,2,2
1,1,1
189,6,5
3,1,2
243,1,3
3,1,1
63,0,5
413343,1,5
63,0,4
3,1,2
27,5,5
45927,2,6
1,1,2
1701,1,5
9,0,3
81,0,2
1,1,2
189,2,5
81,1,5
9,0,3
81,2,4
9,0,3
1701,2,5
1,0,2
1,0,2
1323,4,6
81,0,5
405,2,6
147,3,5
1,0,2
81,3,5
243,1,6
9,5,5
243,0,3
1,0,1
3,2,3
189,1,5
9,0,2
243,5,6
1,0,2
9,0,2
81,3,4
9,2,3
1,1,1
63,2,4
1701,2,3
656373375,5,9
729,0,5
45,3,5
27,1,3
27,2,3
7,2,2
9,6,5
1,0,1
1,0,0
321489,4,7
27,3,4
729,2,6
81,0,4
27,0,2
9,0,1
64827,5,5
9,4,5
9,0,2
81,5,4
9,0,2
2187,1,4
27,0,2
1,1,2
81,0,4
21,2,3
1,1,4
189,2,3
135,1,5
3,0,2
27,1,4
567,2,4
1701,2,4
1701,2,5
81,0,2
3,0,2
3,0,1
63,3,5
9,0,3
81,2,4
9,0,3
27,0,3
9,3,4
729,2,5
21,2,6
567,3,4
81,6,4
9,1,3
9,0,2
1701,5,4
750141,2,6
243,2,5
1,1,3
27,0,3
9,2,2
189,3,4
81,1,4
3,0,1
3,0,3
27,0,3
9,1,1
81,3,4
9,0,2
441,4,6
1,2,3
1701,2,6
1,0,1
27,2,4
7,1,3
15309,5,5
3,2,2
63,2,3
27,0,4
9,1,1
1,0,0
189,5,4
49,1,5
1,1,3
9,1,3
9,0,1
9,4,4
27,0,3
81,3,3
3,1,2
441,0,4
81,0,3
63,1,3
9,5,4
9,0,3
81,2,4
27,3,4
729,2,4
27,2,3
81,1,6
1,0,0
9,1,3
567,5,5
81,3,3
27,4,5
81,6,7
189,1,5
3,1,2
27,2,5
9,0,1
63,0,3
1,0,4
9,4,3
1,1,2
27,5,4
567,3,6
441,1,4
1701,3,5
81,2,3
729,1,4
147,0,4
81,3,5
567,1,5
1,1,2
3,0,2
3,1,2
9,1,2
27,0,2
81,4,5
45927,2,6
243,1,4
3,1,2
9,1,4
9,0,1
27,3,3
27,3,4
81,1,3
5103,0,4
243,1,4
15309,2,4
9,0,2
243,0,4
9,1,1
81,3,3
9,1,2
1,0,1
567,3,4
3969,4,5
27,3,4
81,1,3
27,1,2
81,1,4
1701,2,5
194481,3,5
3,0,1
27,0,2
81,2,4
27,1,4
81,2,6
5103,1,4
27,0,3
567,2,5
15309,1,5
1,2,3
81,2,4
45927,1,5
9,0,2
9,0,2
9,3,2
1,0,1
3,3,4
3,0,1
567,2,4
1,0,1
9,3,4
9261,1,5
27,1,3
27,0,3
27,1,2
27,2,4
27,0,3
9,2,5
81,2,3
15309,4,7
27,0,3
81,3,6
9,1,3
81,1,2
3,0,2
7,1,2
1,2,2
1701,3,3
3,3,5
3,3,2
43758225,9,8
63,2,3
27,2,3
9,0,1
9,0,1
27,2,3
35721,8,8
567,2,6
27,3,4
1,4,2
15309,3,5
1,2,2
27,1,4
1,0,2
27,0,1
3,1,3
45,1,6
243,7,6
27,0,5
3,1,1
2893401,5,6
3,2,4
3,2,3
5103,1,6
81,3,3
81,3,5
9,4,3
3,2,3
9,2,4
137781,2,6
27,3,2
9,1,4
441,1,4
81,1,3
9,2,3
3,3,2
1,0,1
21,1,3
15,1,3
27,4,3
9,5,4
441,4,5
1,1,1
9,2,3
27,1,4
35721,3,6
3,1,3
9,0,1
567,2,3
729,2,3
1,2,3
9,2,2
1,3,4
729,3,5
15309,7,7
81,1,2
45927,4,5
189,3,3
9,3,5
81,0,4
81,1,4
77175,5,5
105,5,5
189,2,3
243,1,3
27,2,4
3,2,2
9,1,4
567,2,3
189,2,2
27,1,5
189,3,5
3,0,1
27,2,2
9,2,4
15309,3,6
27,3,3
189,1,5
3,2,5
27,3,4
81,2,5
81,1,2
1,1,1
9,3,3
9,1,3
21,1,4
3,1,3
9,0,4
9,2,3
3,1,2
81,4,4
27,3,5
9,2,2
9,1,2
2187,3,6
3,1,2
21,2,4
1,0,3
3,0,1
9,1,2
9,0,2
243,5,6
3,0,2
21,4,3
9,0,4
3,1,1
1,1,3
27,1,4
2083725,5,7
81,0,3
63,2,5
27,2,5
9,1,2
3,2,2
1,2,1
1701,5,6
35721,4,5
27,2,4
27,3,4
1323,2,5
21,3,4
49,2,3
1,0,0
1701,4,4
49,0,3
9,1,3
27,0,3
21,1,4
9,0,1
81,5,4
45927,3,4
27,2,3
189,1,2
9,1,3
7,1,4
243,2,5
453789,6,6
81,5,4
1,2,2
5103,5,4
81,1,3
27,0,2
1,2,3
3,2,4
27,0,2
441,7,6
9,2,5
81,3,5
1,0,2
1,0,1
9,0,2
3969,6,6
567,3,4
15309,4,6
9,0,2
27,1,4
81,0,5
81,3,2
